Acidaminococcus,Acinetobacter,Alistipes,Bacteroides,Bifidobacterium,Blautia,Citrobacter,Clostridioides,Clostridium,Enterocloster,Enterococcus,Escherichia,Eubacterium,Faecalibacterium,Lacticaseibacillus,Lactiplantibacillus,Lactobacillus,Limosilactobacillus,Mycobacterium,Parabacteroides,Ruminococcus,Staphylococcus,Streptococcus,Veillonella,Metabolite,Methods
-1,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,PYR-4,MIMOSA2
-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,NIC-4,MIMOSA2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,CRE-4,MIMOSA2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,DPA-4,MIMOSA2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,PNT-4,MIMOSA2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,CHO-5,BiomeNED
1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,PYR-5,BiomeNED
-1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,NIC-5,BiomeNED
1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,0,CRE-5,BiomeNED
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,DPA-5,BiomeNED
1,0,0,1,-1,0,0,-1,1,-1,-1,0,0,-1,-1,-1,0,-1,0,1,-1,0,1,-1,PNT-5,BiomeNED
0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,CHO-6,ENVIM
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,PYR-6,ENVIM
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,NIC-6,ENVIM
-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,CRE-6,ENVIM
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,DPA-6,ENVIM
-1,0,0,1,-1,0,0,-1,1,-1,-1,0,0,1,1,1,0,-1,0,-1,-1,0,-1,1,PNT-6,ENVIM
0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,CHO-7,mNODE
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,PYR-7,mNODE
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NIC-7,mNODE
-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,CRE-7,mNODE
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,DPA-7,mNODE
-1,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,0,-1,1,PNT-7,mNODE
